SMILES,Type,Relation,Value
COCCc1ccc(OCC(O)CNC(C)C)cc1,IC50,,
CCC(C)C(C(=O)OCC[N+](C)(CC)CC)c1ccccc1.[Br-],IC50,'=',12
CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,IC50,,
NNc1ccccc1,IC50,,
CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)c1c[nH]c3ccccc13)C2,IC50,,
CCN(CC)N=O,IC50,,
N[C@H](CSC(=S)NCc1ccccc1)C(=O)O,IC50,,
C#CC1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,IC50,,
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,IC50,,
,,,
CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,IC50,'=',420.3
,,,
Cc1ccc(/N=C/N(C)/C=N/c2ccc(C)cc2C)c(C)c1,IC50,,
Nc1nc(=O)[nH]cc1F,IC50,,
COc1cc(CO/N=C2\CN3CCC2C3)on1.Cl,IC50,'=',40540
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@H]43)[C@@H]1CC[C@@H]2O,IC50,,
CC[N+]1(C2CCN(C(=O)[C@H](Cc3ccc(O)cc3)NC(=O)Nc3ccc(C(=O)OC(C)C)cc3)CC2)CCCC1,IC50,'>',3300
Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,IC50,,
CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](C)O)N(C)C1,IC50,,
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,IC50,,
O=c1[nH]cc(F)c(=O)[nH]1,IC50,,
OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,IC50,,
CC(C)Cn1cnc2c(N)nc3ccccc3c21,IC50,,
