ID,SMILES,Type,Value
277248,O[C@H]1CCCC[C@@H]1NC(=O)c1cn(Cc2ccc(cc2)-n2cccn2)c2ccc(nc12)[N+]#[C-] |r|,EC50,316
277249,Cn1ccnc1-c1ccc(Cn2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c3ncccc23)cc1 |r|,EC50,100
277250,"C[N]1=CNC(=C1)c1ccc(Cn2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c3ncccc23)cc1 |r,c:4,t:1|",EC50,10
277251,Cc1cccc(n1)-c1ccc(Cn2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c3ncccc23)c(F)c1 |r|,EC50,126
277252,Cc1cc(ccn1)-c1ccc(Cn2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c3ncccc23)c(F)c1 |r|,EC50,31.6
277253,O[C@@H]1CCCC[C@H]1NC(=O)c1cn(Cc2ccc(cc2)-c2ccc(F)cc2)c2cccnc12 |r|,EC50,316
277254,O[C@@H]1CCCC[C@H]1NC(=O)c1cn(Cc2ccc(cc2)-n2cccn2)c2cccnc12 |r|,EC50,25.1
277256,O=C(NC1CCCOC1)c1cn(Cc2ccc(cc2)-n2cccn2)c2cccnc12,EC50,2512
277257,O=C(NC1CCCCC1)c1cn(Cc2ccc(cc2)-n2cccn2)c2cccnc12,EC50,398
277258,FC1(F)CCC(CC1)NC(=O)c1cn(Cc2ccc(cc2)-n2cccn2)c2cccnc12,EC50,501
277259,O=C(N[C@H]1CCCNC1)c1cn(Cc2ccc(cc2)-n2cccn2)c2cccnc12 |r|,EC50,200
277260,O=C(N[C@@H]1CCCNC1)c1cn(Cc2ccc(cc2)-n2cccn2)c2cccnc12 |r|,EC50,631
277261,CN1CCC[C@@H](C1)NC(=O)c1cn(Cc2ccc(cc2)-n2cccn2)c2cccnc12 |r|,EC50,31.6
277262,CN1CCC[C@H](C1)NC(=O)c1cn(Cc2ccc(cc2)-n2cccn2)c2cccnc12 |r|,EC50,200
277263,O[C@H]1CCCC[C@@H]1NC(=O)c1cn(Cc2ccc(Br)cc2)c2cccnc12 |r|,EC50,316
277264,Cn1cc(cn1)-c1ccc(Cn2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c3ncccc23)cc1 |r|,EC50,25.1
277265,COc1ccc(Cn2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c3nccc(Cl)c23)cc1 |r|,EC50,20
277266,Cc1ccnc2c(cn(Cc3ccc(Cl)nc3)c12)C(=O)N[C@H]1CCCC[C@@H]1O |r|,EC50,39.8
277267,Cc1ccnc2c(cn(Cc3ccc(Cl)cc3)c12)C(=O)N[C@H]1CCCC[C@@H]1O |r|,EC50,15.8
277268,Cc1ccc(Cn2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c3nccc(Cl)c23)nc1 |r|,EC50,100
277269,Cc1ccc(Cn2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c3nccc(Cl)c23)cn1 |r|,EC50,39.8
277270,Cc1ccc(Cn2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c3nccc(C)c23)cc1 |r|,EC50,25.1
277271,Cc1ccc(Cn2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c3nccc(C)c23)nc1 |r|,EC50,63.1
277272,Cc1ccnc2c(cn(Cc3cccc(F)c3)c12)C(=O)N[C@H]1CCCC[C@@H]1O |r|,EC50,20
277273,COc1ccc(Cn2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c3nccc(C)c23)cc1C |r|,EC50,12.6
277274,COc1ccc(Cn2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c3nccc(C)c23)cn1 |r|,EC50,31.6
277275,COc1ccc(Cn2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c3nccc(Cl)c23)cn1 |r|,EC50,20
277276,COc1cc(Cn2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c3nccc(Cl)c23)ccn1 |r|,EC50,10
277277,O[C@H]1CCCC[C@@H]1NC(=O)c1cn(Cc2ccc(Cl)nc2)c2c(Cl)ccnc12 |r|,EC50,100
277278,COc1cc(Cn2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c3nccc(C)c23)ccn1 |r|,EC50,12.6
277279,Cn1cc(Cn2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c3nccc(Cl)c23)cn1 |r|,EC50,15.8
277280,Cc1ccnc2c(cn(Cc3cnn(C)c3)c12)C(=O)N[C@H]1CCCC[C@@H]1O |r|,EC50,12.6
277281,Cc1csc(Cn2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c3nccc(Cl)c23)n1 |r|,EC50,200
277282,Cc1cnc(Cn2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c3nccc(Cl)c23)s1 |r|,EC50,251
277283,Cc1cc(Cn2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c3ncccc23)ccn1 |r|,EC50,398
277284,O[C@H]1CCCC[C@@H]1NC(=O)c1cn(Cc2ccncc2)c2cccnc12 |r|,EC50,501
277285,Cc1cc(Cn2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c3nccc(Cl)c23)ccn1 |r|,EC50,15.8
277286,O[C@H]1CCCC[C@@H]1NC(=O)c1cn(Cc2ccncc2)c2c(Cl)ccnc12 |r|,EC50,39.8
277287,Cc1ccnc(Cn2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c3nccc(Cl)c23)c1 |r|,EC50,79.4
277288,Cc1ccnc2c(cn(Cc3ccc(Cl)cn3)c12)C(=O)N[C@H]1CCCC[C@@H]1O |r|,EC50,63.1
277289,Cc1ccnc2c(cn(Cc3ccc(F)cc3)c12)C(=O)NC1CCOC[C@@H]1O |r|,EC50,15.8
277290,COc1ccc(Cn2cc(C(=O)NC3CCOC[C@@H]3O)c3nccc(C)c23)cc1 |r|,EC50,10
277291,COc1ccc(Cn2cc(C(=O)NC3CCOC[C@@H]3O)c3nccc(C)c23)cc1F |r|,EC50,12.6
277292,COc1cc(Cn2cc(C(=O)NC3CCOC[C@@H]3O)c3nccc(C)c23)ccn1 |r|,EC50,50.1
277293,Cc1ccnc2c(cn(Cc3cccc(F)c3)c12)C(=O)NC1CCOC[C@@H]1O |r|,EC50,25.1
277294,COc1ccc(Cn2cc(C(=O)NC3CCOC[C@@H]3O)c3nccc(Cl)c23)cc1 |r|,EC50,12.6
277295,O[C@H]1COCC[C@@H]1NC(=O)c1cn(Cc2ccc(F)cc2)c2c(Cl)ccnc12 |r|,EC50,398
277296,O[C@@H]1COCC[C@H]1NC(=O)c1cn(Cc2ccc(F)cc2)c2c(Cl)ccnc12 |r|,EC50,251
277297,O[C@H]1CCCC[C@@H]1NC(=O)c1cn(Cc2ccc(cc2)C(F)(F)F)c2cccnc12 |r|,EC50,251
277298,COc1cc(Cn2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c3ncccc23)ccc1F |r|,EC50,501
277299,COc1ccc(Cn2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c3ncccc23)c(F)c1 |r|,EC50,398
277300,COc1ccc(Cn2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c3ncccc23)cc1 |r|,EC50,126
277301,O[C@H]1CCCC[C@@H]1NC(=O)c1cn(Cc2ccc(F)c(F)c2)c2cccnc12 |r|,EC50,251
277302,O[C@H]1CCCC[C@@H]1NC(=O)c1cn(Cc2cccc(c2)C(F)(F)F)c2cccnc12 |r|,EC50,794
277303,Cc1cccc(Cn2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c3ncccc23)c1 |r|,EC50,200
277304,Cc1ccc(Cn2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c3ncccc23)c(F)c1 |r|,EC50,126
277305,Cc1ccnc2c(cn(Cc3cc(F)ccc3F)c12)C(=O)N[C@H]1CCCC[C@@H]1O |r|,EC50,100
277306,O[C@H]1CCCC[C@@H]1NC(=O)c1cn(Cc2ccc(OC(F)(F)F)cc2)c2c(Cl)ccnc12 |r|,EC50,200
277307,Cc1ccnc2c(cn(Cc3ccc(OC(F)(F)F)cc3)c12)C(=O)N[C@H]1CCCC[C@@H]1O |r|,EC50,158
277308,Cc1ccnc2c(cn(Cc3cc(F)cc(F)c3)c12)C(=O)N[C@H]1CCCC[C@@H]1O |r|,EC50,100
277309,COc1cccc(Cn2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c3ncccc23)c1F |r|,EC50,398
277310,COc1ccc(Cn2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c3ncccc23)cc1F |r|,EC50,158
277311,COc1ccnc2c(cn(Cc3cccc(F)c3F)c12)C(=O)N[C@H]1CCCC[C@@H]1O |r|,EC50,501
277312,COc1ccc(Cn2cc(C(=O)N[C@H]3CCCC[C@@H]3O)c3nccc(OC)c23)cc1 |r|,EC50,200
361596,Cn1cc2c(cccc2n1)-c1cc(F)c(CN2Cc3ccc4nncn4c3C2=O)c(F)c1,EC50,952
361597,Cn1cc2c(cccc2n1)-c1ccc(CN2Cc3ccc4nncn4c3C2=O)c(F)c1,EC50,688
361598,Cn1cc(cn1)-c1cc(F)c(CN2Cc3ccc4nncn4c3C2=O)c(F)c1,EC50,656
361599,Fc1cc(ccc1CN1Cc2ccc3nncn3c2C1=O)-c1cnc2ccccc2c1,EC50,1750
361600,Fc1cc(cc(F)c1CN1Cc2ccc3nncn3c2C1=O)-c1ccc2ncccc2c1,EC50,743
361601,Cn1cc2cc(ccc2n1)-c1cc(F)c(CN2Cc3ccc4nncn4c3C2=O)c(F)c1,EC50,488
361602,COc1ccc(cn1)-c1cc(F)c(CN2Cc3ccc4nncn4c3C2=O)c(F)c1,EC50,2640
361603,Cc1ccc(-c2ccc(CN3Cc4ccc5nncn5c4C3=O)c(F)c2)c2cn(C)nc12,EC50,1060
361604,Cn1cc2cc(ccc2n1)-c1ccc(CN2Cc3ccc4nncn4c3C2=O)c(F)c1,EC50,502
361605,Fc1cc(ccc1CN1Cc2ccc3nncn3c2C1=O)-c1ccc2ncccc2c1,EC50,1570
361606,Cn1cc(cn1)-c1ccc(CN2Cc3ccc4nncn4c3C2=O)c(F)c1,EC50,856
361607,Fc1cc(ccc1CN1Cc2ccc3nncn3c2C1=O)-n1cccn1,EC50,30000
361608,Fc1cc(cc(F)c1CN1Cc2ccc3nncn3c2C1=O)-c1cnc2ccccc2c1,EC50,1820
361609,Cc1nnc2ccc3CN(Cc4c(F)cc(cc4F)-c4cnn(C)c4)C(=O)c3n12,EC50,1790
361610,Cc1nnc2ccc3CN(Cc4c(F)cc(cc4F)-c4ccc5nn(C)cc5c4)C(=O)c3n12,EC50,1240
361611,Cc1nnc2ccc3CN(Cc4ccc(cc4F)-c4ccc5nn(C)cc5c4)C(=O)c3n12,EC50,1210
361612,Cc1cc(cc2cn(C)nc12)-c1ccc(CN2Cc3ccc4nncn4c3C2=O)c(F)c1,EC50,618
361613,Cc1nnc2ccc3CN(Cc4ccc(cc4F)-c4ccc(C)c5nn(C)cc45)C(=O)c3n12,EC50,2140
361614,Cc1nnc2ccc3CN(Cc4c(F)cc(cc4F)-c4cccc5nn(C)cc45)C(=O)c3n12,EC50,1410
361615,Cc1nnc2ccc3CN(Cc4ccc(cc4F)-c4cc(C)c5nn(C)cc5c4)C(=O)c3n12,EC50,2100
361616,Cn1cc(cn1)-c1ccc(F)c(CN2Cc3ccc4nncn4c3C2=O)c1,EC50,10000
361617,Cn1cc2cc(ccc2n1)-c1ccc(F)c(CN2Cc3ccc4nncn4c3C2=O)c1,EC50,1310
361618,Cn1cc2c(cccc2n1)-c1ccc(F)c(CN2Cc3ccc4nncn4c3C2=O)c1,EC50,1350
361619,Fc1ccc(cc1CN1Cc2ccc3nncn3c2C1=O)-c1cnc2ccccc2c1,EC50,30000
361620,Fc1ccc(cc1CN1Cc2ccc3nncn3c2C1=O)-c1ccc2ncccc2c1,EC50,30000
361621,COc1ccc(cn1)-c1ccc(F)c(CN2Cc3ccc4nncn4c3C2=O)c1,EC50,30000
361622,Cn1cc(cn1)-c1ccc(CN2Cc3ccc4nccn4c3C2=O)c(F)c1,EC50,2260
361623,Cn1cc(cn1)-c1cc(F)c(CN2Cc3ccc4nccn4c3C2=O)c(F)c1,EC50,2370
361624,Cc1cn2c3C(=O)N(Cc4c(F)cc(cc4F)-c4cnn(C)c4)Cc3ccc2n1,EC50,30000
361625,Cn1cc(cn1)-c1ccc(CN2Cc3ccc4ncnn4c3C2=O)c(F)c1,EC50,677
361626,Cn1cc(cn1)-c1cc(F)c(CN2Cc3ccc4ncnn4c3C2=O)c(F)c1,EC50,1630
361627,Cn1cc2c(cccc2n1)-c1cc(F)c(CN2Cc3ccc4nccn4c3C2=O)c(F)c1,EC50,1400
361628,Cn1cc2c(cccc2n1)-c1ccc(CN2Cc3ccc4nccn4c3C2=O)c(F)c1,EC50,2200
361629,Cn1cc2cc(ccc2n1)-c1ccc(CN2Cc3ccc4nccn4c3C2=O)c(F)c1,EC50,3903
361630,Cn1cc2cc(ccc2n1)-c1cc(F)c(CN2Cc3ccc4nccn4c3C2=O)c(F)c1,EC50,10000
361631,Cc1ccc(CN2Cc3ccc4nccn4c3C2=O)cn1,EC50,10000
361632,O=C1N(Cc2ccc(nc2)-n2ccnn2)Cc2ccc3nccn3c12,EC50,10000
361633,O=C1N(Cc2ccc(nc2)N2CCOCC2)Cc2ccc3nccn3c12,EC50,10000
361634,Fc1cc(cc(F)c1CN1Cc2ccc3nccn3c2C1=O)-c1ccc2ncccc2c1,EC50,857
361635,Fc1cc(ccc1CN1Cc2ccc3nccn3c2C1=O)-n1cccn1,EC50,10000
361636,CNC(=O)c1ccc(CN2Cc3ccc4nccn4c3C2=O)cc1,EC50,10000
