SMILES,Type,Relation,Value
CC(c1ccc(S(=O)(=O)c2ccccc2)cc1)N1CCN(c2ccccc2)CC1,Ki,'=',4770
NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1,Ki,'=',5.5
OC1(c2cc3ccccc3o2)CN2CCC1CC2,Ki,'=',810
O=C(OC1CC2CCCC1N2)c1ccc([N+](=O)[O-])cc1,Ki,'=',29
NC1CCN(C(=O)[C@](O)(c2ccccc2)C2CCCC2)CC1,Ki,'=',0.98
NCc1ccc(NC(=O)[C@](O)(c2ccccc2)[C@@H]2CCC(F)(F)C2)cc1,Ki,'=',740
Cc1nccc2c1C(C)(C)Nc1cc(Br)ccc1-2,Ki,'>',10000
CN(C)CCOC(=O)C1=C/C(=C\c2ccccn2)c2ccccc21,Ki,'=',7079.46
C1=C(c2ccsc2)C2CCN1CC2,Ki,'=',710
OC1(c2nc3ccccc3o2)CN2CCC1CC2,Ki,'=',1800
CCN(CC)CCCCOC(=O)C(C)(c1ccccc1)C1CCCCC1,Ki,'=',111
C[C@@H]1CCCN1CCc1cc2cc(C(=O)c3ccc([N+](=O)[O-])cc3)ccc2o1,Ki,'=',931
CN(C)CCOC(=O)C1=C/C(=C\c2cccnc2)c2ccccc21,Ki,'=',11481.54
C[N+]1(C)CCC(OC(=O)C(c2ccccc2)c2ccccc2)CC1.[I-],Ki,'=',1.1
COc1ccc(CCOC(=O)C2(c3ccccc3)CCN(C)CC2)cc1,Ki,'=',1200
COc1ccc(CCC(=O)OCC2(c3ccccc3)CCN(C)CC2)cc1,Ki,'=',670
C1C2C3CC4C2C2C1C3[C@H](NCC13C5C6C7C5C1C7C63)C42,Ki,'=',7468
O=C(O)CCCCCN1CCC(CNC(=O)c2c3n(c4ccccc24)CCCO3)CC1,Ki,'>',10000
C[C@@H]1O[C@H]([C@@H]2CCC[N+]2(C)C)CS1,Ki,'=',14125.38
C[C@H]1OC[C@@H]([C@H]2CCC[N+]2(C)C)O1,Ki,'=',52480.75
C[N+]1(CCCC(O)(c2ccccc2)c2ccccc2)CCN(c2ccccc2)CC1.[I-],Ki,'=',17378.01
O=C(OCCCc1ccc(Cl)c(Cl)c1)N(c1ccccc1)C1CN2CCC1CC2,Ki,'=',170
CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,Ki,'=',0.44
CCN1CCC(c2ccccc2)=C(C(=O)OCCc2ccc(Br)cc2)C1,Ki,'=',240
C[N+](C)(C)C[C@H]1CNC(=O)O1,Ki,'>',100000
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,Ki,'>',1000
OC1(c2cc3ccccc3s2)CN2CCC1CC2,Ki,'=',1100
O=C(N1CCCNCC1)[C@](O)(c1ccccc1)[C@@H]1CCC(F)(F)C1,Ki,'=',14
