SMILES,Type,Relation,Value
O=C(N[C@H]1CCCC[C@@H]1O)C1CN(Cc2ccc(-n3cccn3)cc2)c2c(F)cccc2O1,EC50,'=',3090.3
O=C(N[C@H]1CCCC[C@@H]1O)C1CN(Cc2ccc(-n3cccn3)cc2)c2ccccc2O1,EC50,'=',794.33
CC1(C(=O)N[C@H]2CCCC[C@@H]2O)CN(Cc2ccc(-n3cccn3)cc2)c2ccccc2O1,EC50,'=',7300
O=C(N[C@H]1CCCC[C@@H]1O)C1CN(Cc2ccc(-n3cccn3)cc2)c2c(F)cccc2O1,EC50,'=',3180
NC1CCCCC1NC(=O)C1CN(Cc2ccc(-n3cccn3)cc2)c2ccccc2O1,EC50,'=',2300
CC(O)(CNC(=O)C1CN(Cc2ccc(-n3cccn3)cc2)c2ccccc2O1)C1CC1,EC50,'=',1900
CN(C)c1ccc(CN2CC(C(=O)N[C@H]3CCCC[C@@H]3O)Oc3ccccc32)cn1,EC50,'=',3800
Cn1cc(-c2ccc(CN3CC(C(=O)N[C@H]4CCCC[C@@H]4O)Oc4ccccc43)cn2)cn1,EC50,'=',220
,,,
Cn1cc(-c2ccc(CN3C(=O)C4(CCN(C5CCCC5)C4)c4ccccc43)cc2F)cn1,EC50,'=',2000
Cc1nn(C)cc1-c1ccc(CN2C(=O)C3(CCN(C4CCCC4)C3)c3ccccc32)c(F)c1,EC50,'=',3019.95
Cn1cc(-c2ccc(CN3C(=O)C4(CCN(C5CCCC5)C4)c4ccccc43)c(F)c2)cn1,EC50,'=',3090.3
Cn1cc(-c2ccc(CN3C(=O)C4(CCNCC4)c4ccccc43)c(F)c2)cn1,EC50,'>',10000
CC(C)[C@@H]1N=C(c2ccccc2)c2ccc(Cl)cc2NC1=S,EC50,'=',399
COc1ccc2c(c1)C(c1ccccc1)=N[C@@H](C(C)C)C(=S)N2,EC50,'=',559
O=C(N[C@H]1C(O)CCC[C@@H]1O)c1cn(Cc2ccc(-n3cccn3)cc2)c2cccnc12,EC50,'>',249
CC#CCO/N=C1\CN2CCC1C2,EC50,'=',1900
O=C(N[C@H]1CCOC[C@@H]1O)c1cn(Cc2ccc(-c3cc[nH]n3)cc2)c2cccnc12,EC50,'=',65
CCCCCCSc1nsnc1OC1CN2CCC1CC2,EC50,'=',225
,,,
Fc1ccccc1C1=NCC(=S)Nc2ccc(I)cc21,EC50,'=',2154
Fc1ccccc1C1=N[C@H](c2ccccc2)C(=S)Nc2ccc(Cl)cc21,EC50,'>',10000
CC(C)C[C@@H]1N=C(c2ccccc2Cl)c2cc(Cl)ccc2NC1=S,EC50,'>',10000
CC1N=C(c2ccccc2)c2cc(C#N)ccc2NC1=S,EC50,'>',10000
Cc1ccc(C)c(Cn2nc3c4ccccc4[nH]cc-3c2=O)c1,EC50,'>',30000
O=C1CCc2ccccc2N1CCCN1CCC(CCCCCCCO)CC1,EC50,'=',229.09
,,,
CN1CCC=C(c2nsnc2OCCCCCC2CCN(CCCN3C(=O)CCc4ccccc43)CC2)C1,EC50,'=',20.42
O=C1CCc2ccccc2N1CCCN1CCC(CCCCCCCO)CC1,EC50,'=',85.11
C[N+](C)(CC#CCOC1=NOCC1)CCCCCCNC(=O)c1cn(Cc2ccccc2)c2cc(Br)ccc2c1=O.[Br-],EC50,'=',15.49
O=C(Cc1ccccc1)NC1CCN(CCCN2C(=O)CCc3ccc(F)cc32)CC1,EC50,'=',51
O=C1CCCN1CC#CCN1CCCC1,EC50,'=',1.6
CCC(=O)NC1CCN(CCCN2C(=O)CCc3cc(F)ccc32)CC1,EC50,'=',9
CCC(=O)NC1CCN(CCCN2C(=O)CCc3ccc(F)cc32)CC1,EC50,'=',20
CC(=O)N(Cc1ccccc1-c1cccc(Cl)c1)CC1CCNCC1,EC50,'=',398.11
O=C(NCC1=CCNCC1)c1c(F)cccc1-c1cccc(Cl)c1,EC50,'=',3.162
O=C(NCC1CCNCC1)c1c(-c2cccc(Cl)c2)ccc(Cl)c1F,EC50,'=',25.12
,,,
O=C(Cc1ccccc1)NC1CCN(CCCN2C(=O)CSc3ccccc32)CC1,EC50,'=',100
O=C(CCc1ccccc1)NC1CCN(CCCN2C(=O)COc3ccccc32)CC1,EC50,'=',970
O=C(NC1CCN(CCCN2C(=O)COc3ccccc32)CC1)C1CCCC1,EC50,'=',350
